[2025-02-07 11:07:34,911] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,915] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,918] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,922] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,925] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,929] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,932] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 2 with partition epoch 0, high watermark 2, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,932] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 1 with partition epoch 0, high watermark 1, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,932] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,936] INFO [Broker id=0] Leader location-update-topic-0 with topic id Some(nxBUEZKTQjSKD5u5wdctHA) starts at leader epoch 0 from offset 15 with partition epoch 0, high watermark 15, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,936] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,939] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,943] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,947] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,951] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,954] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,958] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,962] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,966] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,970] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,974] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,978] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,982] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,986] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(_MYu3veCTW-hnOf3O5jMZg) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-02-07 11:07:34,997] INFO [Broker id=0] Finished LeaderAndIsr request in 184ms correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2025-02-07 11:07:35,002] INFO [Broker id=0] Add 52 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 2 with correlation id 2 (state.change.logger)
